source	target	status_interaction
65224	60850	Known
65201	60872	Known
65201	65201	New
65201	61018	Known
65201	61016	Known
65201	61014	Known
65196	65196	Known
65196	65198	New
65196	60921	Known
65181	61018	Known
65181	61016	Known
65181	61014	Known
65181	60214	Known
65181	60212	Known
65181	60210	Known
65181	60208	Known
65181	60206	Known
65181	60204	Known
65181	60202	Known
65181	60200	Known
65181	60198	Known
65181	60196	Known
65181	63305	Known
65172	61411	Known
65172	61409	Known
65172	61407	Known
65172	61405	Known
65172	60642	Known
65172	60640	Known
65172	60638	Known
65172	60636	Known
64635	65162	Known
64635	65160	New
64635	65158	Known
64635	65156	Known
64635	60170	New
64635	65153	Known
64635	65151	Known
64635	65149	Known
64635	62060	Known
64635	63814	Known
64635	63543	New
64635	65144	Known
64635	61489	New
64635	62884	Known
64635	62882	Known
64635	62459	Known
64635	65138	Known
64635	60226	New
64635	60974	New
64635	65134	Known
64635	65132	Known
64635	60870	Known
64635	60866	New
64635	65128	New
64635	60224	New
64635	62016	Known
64635	60220	New
64635	60218	New
64635	65122	Known
64635	65120	Known
64635	61454	New
64635	65117	New
64635	65115	Known
64635	60848	Known
64635	65112	Known
64635	65110	New
64635	65108	Known
64635	65106	Known
64635	64635	Known
64635	65103	New
64635	61639	New
64635	65100	Known
64635	65098	Known
64635	65096	New
64635	65094	New
64635	65092	New
64635	65090	New
64635	62445	Known
64635	62443	Known
64635	64588	New
64635	61436	New
64635	61434	New
64635	64566	New
64635	64547	New
64635	64545	New
64635	64543	New
64635	64531	Known
64635	64516	Known
64635	60950	Known
64635	60948	Known
64635	64399	New
64635	64400	New
64635	65073	New
64635	65071	New
64635	62812	New
64635	65068	New
64635	60168	Known
64635	60166	New
64635	60164	Known
64635	61020	Known
64635	64624	New
64635	65061	Known
64635	63509	Known
64635	63507	Known
64635	65057	New
64635	65055	Known
64635	65053	Known
64635	65051	New
64635	65049	Known
64635	65047	New
64635	65045	New
64635	65043	Known
64635	64622	Known
64635	64620	Known
64635	64618	Known
64635	65038	New
64635	65036	New
64635	65034	New
64635	64281	New
64635	64279	New
64635	61953	Known
64635	63504	New
64635	65028	Known
64635	65026	Known
64635	63998	Known
64635	63996	Known
64635	63994	Known
64635	63992	Known
64635	63990	Known
64635	63988	Known
64635	63986	Known
64635	63968	Known
64635	65016	Known
64635	62790	Known
64635	61577	New
64635	65012	New
64635	65010	Known
64635	63492	Known
64635	63490	Known
64635	60736	Known
64635	65005	New
64635	63481	New
64635	64615	New
64635	65001	Known
64635	64999	Known
64635	64997	Known
64635	64995	Known
64635	64993	Known
64635	61367	New
64635	61365	New
64635	64989	New
64635	61363	New
64635	64986	New
64635	64984	New
64635	64982	New
64635	64980	New
64635	62375	New
64635	64114	Known
64635	64112	Known
64635	64258	Known
64635	64256	Known
64635	61886	Known
64635	61884	Known
64635	61882	Known
64635	61880	Known
64635	61336	New
64635	61334	Known
64635	61332	Known
64635	61330	Known
64635	60194	New
64635	64249	New
64635	64963	New
64635	62166	New
64635	62164	New
64635	62162	New
64635	62160	New
64635	62158	New
64635	62156	New
64635	62154	New
64635	60686	Known
64635	60684	Known
64635	60682	Known
64635	62350	Known
64635	64950	New
64635	64948	Known
64635	64946	Known
64635	64944	Known
64635	64942	Known
64635	62736	Known
64635	64939	Known
64635	64937	Known
64635	64935	Known
64635	63468	New
64635	63350	Known
64635	63348	Known
64635	64930	Known
64635	63747	Known
64635	64927	Known
64635	64925	Known
64635	64923	Known
64635	61575	New
64635	61573	New
64635	64919	New
64635	64917	Known
64635	64915	Known
64635	62709	Known
64635	62707	New
64635	61571	New
64635	62704	New
64635	62702	New
64635	62700	Known
64635	64241	New
64635	60668	New
64635	60666	New
64635	60664	New
64635	60662	New
64635	63441	Known
64635	63982	Known
64635	60650	New
64635	64899	New
64635	64897	Known
64635	64895	Known
64635	61286	New
64635	61284	New
64635	61279	Known
64635	61277	Known
64635	64889	Known
64635	64887	Known
64635	63414	New
64635	63412	New
64635	63410	New
64635	63109	New
64635	63107	New
64635	63105	New
64635	63103	New
64635	63101	New
64635	63099	New
64635	63097	New
64635	64237	New
64635	60604	New
64635	60600	Known
64635	64872	Known
64635	64870	Known
64635	64868	Known
64635	60594	New
64635	61259	Known
64635	61002	Known
64635	61000	Known
64635	63031	New
64635	60248	New
64635	61227	Known
64635	64859	Known
64635	64857	Known
64635	64855	Known
64635	64853	Known
64635	62145	New
64635	62143	New
64635	62141	Known
64635	62139	Known
64635	62137	Known
64635	64846	Known
64635	63002	Known
64635	64843	Known
64635	61223	New
64635	61542	New
64635	63069	Known
64635	63067	Known
64635	63065	Known
64635	64836	New
64635	64834	New
64635	64832	Known
64635	64830	Known
64635	64828	Known
64635	64826	New
64635	62302	Known
64635	64823	Known
64635	64821	Known
64635	63394	Known
64635	63049	Known
64635	63047	Known
64635	63045	Known
64635	61171	Known
64635	63975	Known
64635	63973	Known
64635	63971	Known
64635	63969	Known
64635	62905	Known
64635	64809	Known
64635	64807	Known
64635	61169	Known
64635	60495	Known
64635	60493	Known
64635	64160	New
64635	64801	New
64635	62131	New
64635	62129	New
64635	62127	New
64635	62125	New
64635	62123	New
64635	64794	Known
64635	64792	Known
64635	64790	Known
64635	64788	New
64635	61161	New
64635	61159	New
64635	61157	New
64635	63137	New
64635	63135	New
64635	64781	Known
64635	62607	New
64635	64778	Known
64635	64776	Known
64635	62273	Known
64635	62271	Known
64635	62269	Known
64635	62267	Known
64635	62580	Known
64635	62578	Known
64635	64768	Known
64635	64766	Known
64635	64764	Known
64635	64762	Known
64635	62576	Known
64635	60470	Known
64635	60468	Known
64635	64211	Known
64635	61130	Known
64635	61612	New
64635	61610	New
64635	64753	Known
64635	64751	Known
64635	60466	New
64635	60464	Known
64635	60176	New
64635	60174	New
64635	64745	New
64635	64743	New
64635	64741	New
64635	64739	Known
64635	64737	Known
64635	64735	Known
64635	64733	Known
64635	61103	Known
64635	61101	Known
64635	62542	New
64635	60406	Known
64635	60404	Known
64635	60402	Known
64635	63651	Known
64635	60394	Known
64635	60388	New
64635	62538	Known
64635	61507	New
64635	61026	New
64635	60980	New
64635	60978	New
64635	60976	Known
64635	62232	Known
64635	64591	Known
64635	64714	Known
64635	64712	Known
64635	64710	Known
64635	64708	New
64635	61522	Known
64635	64705	New
64635	64703	New
64635	64701	New
64635	64699	Known
64635	64697	Known
64635	63635	Known
64635	63633	Known
64635	63631	Known
64635	64692	Known
64635	64690	Known
64635	64688	Known
64635	64686	Known
64635	64684	New
64635	61080	New
64635	64681	New
64635	60907	New
64635	60905	New
64635	60361	Known
64635	64676	New
64635	60353	Known
64635	60351	Known
64635	60349	Known
64635	60347	Known
64635	60345	Known
64635	60343	Known
64635	60341	Known
64635	60339	Known
64635	60337	Known
64635	60335	Known
64635	60333	Known
64635	60331	Known
64635	64662	Known
64635	64660	Known
64635	64658	Known
64635	61048	Known
64635	60313	New
64635	60311	New
64635	60307	New
64635	60305	New
64635	64651	New
64635	64187	New
64635	64185	New
64635	60287	New
64635	60283	New
64635	64645	Known
64635	64643	Known
64635	62484	Known
64635	60281	Known
64635	60279	Known
64635	60277	Known
64635	60162	New
64635	60160	Known
64635	60158	Known
64588	60170	New
64588	64588	Known
64588	60168	Known
64588	60166	New
64588	60164	Known
64588	61020	New
64588	64624	New
64588	64622	Known
64588	64620	Known
64588	64618	Known
64588	63481	Known
64588	64615	Known
64588	64241	Known
64588	62994	Known
64588	64237	Known
64588	60604	Known
64588	62592	Known
64588	64608	Known
64588	64606	Known
64588	64604	Known
64588	64602	Known
64588	61118	New
64588	61116	Known
64588	61717	Known
64588	64158	New
64588	64596	Known
64588	64594	Known
64588	63651	New
64588	64591	New
64588	64187	Known
64588	64185	Known
64419	60228	Known
64419	64585	Known
64419	64583	Known
64419	64581	Known
64419	64579	Known
64419	64577	New
64419	64575	Known
64419	64419	Known
64419	64572	Known
64419	61436	Known
64419	61434	Known
64419	64568	Known
64419	64566	Known
64419	64564	Known
64419	64562	Known
64419	62182	Known
64419	64559	Known
64419	60956	Known
64419	60954	Known
64419	60952	Known
64419	64554	Known
64419	64552	Known
64419	64550	Known
64419	60216	Known
64419	64547	Known
64419	64545	Known
64419	64543	Known
64419	64541	Known
64419	64539	Known
64419	64537	Known
64419	64535	Known
64419	64533	Known
64419	64531	Known
64419	62428	New
64419	64528	Known
64419	64526	Known
64419	64524	Known
64419	64522	Known
64419	64520	Known
64419	64518	Known
64419	64516	Known
64419	64514	Known
64419	60950	Known
64419	60948	Known
64419	64510	Known
64419	64508	Known
64419	64506	Known
64419	64504	Known
64419	64502	Known
64419	64500	Known
64419	64498	Known
64419	64496	Known
64419	64494	Known
64419	64492	Known
64419	64490	Known
64419	64488	Known
64419	64486	Known
64419	61340	Known
64419	61338	Known
64419	64482	Known
64419	60624	Known
64419	64479	Known
64419	64477	Known
64419	64475	Known
64419	64473	Known
64419	64471	Known
64419	64469	Known
64419	61161	Known
64419	63673	New
64419	63671	New
64419	63669	New
64419	63667	Known
64419	64462	New
64419	64460	New
64419	64458	New
64419	64456	Known
64419	64454	New
64419	64452	Known
64419	64450	Known
64419	64448	Known
64419	64446	Known
64419	64444	Known
64419	64442	Known
64419	64440	Known
64419	63380	New
64419	63378	Known
64419	64436	New
64419	64434	New
64419	64432	New
64419	64430	New
64419	64428	New
64419	64426	Known
64419	60925	Known
64419	64423	Known
64419	63611	New
64419	63609	Known
64419	63607	Known
64403	64417	New
64403	62798	New
64403	62160	New
64403	60265	Known
64403	60263	Known
64403	60261	Known
64403	60259	Known
64403	60257	Known
64403	60255	Known
64403	60253	Known
64403	64406	New
64403	63305	Known
64403	61150	New
64399	64399	New
64399	64400	New
64347	60228	Known
64347	60964	Known
64347	60872	Known
64347	60974	Known
64347	60918	Known
64347	60962	Known
64347	60960	Known
64347	60958	Known
64347	60956	Known
64347	60954	Known
64347	60952	Known
64347	60216	Known
64347	60950	Known
64347	60948	Known
64347	61421	Known
64347	61419	Known
64347	60214	Known
64347	60212	Known
64347	60210	Known
64347	60208	Known
64347	60206	Known
64347	60204	Known
64347	60202	Known
64347	60200	Known
64347	60198	Known
64347	60196	Known
64347	60642	Known
64347	60640	Known
64347	60638	Known
64347	60636	Known
64347	60188	Known
64347	60186	Known
64347	60184	Known
64347	60182	Known
64347	60180	Known
64347	60178	Known
64347	60265	Known
64347	60263	Known
64347	60261	Known
64347	60259	Known
64347	60257	Known
64347	60255	Known
64347	60253	Known
64347	63305	Known
64347	60925	Known
64347	60970	Known
64347	60900	Known
64347	60911	Known
64347	60909	Known
64347	60921	Known
64343	64341	New
64343	64339	New
64343	64337	New
64337	64341	New
64337	64339	New
64337	64337	New
64325	60962	Known
64325	60960	Known
64325	60958	Known
64325	64325	New
64325	61159	New
64325	60477	Known
64325	60233	Known
64325	60474	Known
64325	60472	Known
64325	64326	New
64323	64301	New
64299	61421	Known
64299	61419	Known
64299	61856	Known
64299	60642	Known
64299	60640	Known
64299	60638	Known
64299	60636	Known
64299	60925	Known
64178	64323	Known
64178	63080	Known
64178	61483	Known
64178	61481	Known
64178	64318	Known
64178	60876	Known
64178	60226	New
64178	64314	Known
64178	60864	Known
64178	60862	Known
64178	60860	Known
64178	60858	Known
64178	60856	Known
64178	60854	Known
64178	60852	Known
64178	60220	Known
64178	60218	Known
64178	60842	Known
64178	60840	Known
64178	64301	Known
64178	64299	New
64178	63516	New
64178	64296	Known
64178	64294	New
64178	64292	Known
64178	64290	Known
64178	64178	Known
64178	64287	Known
64178	64285	Known
64178	64283	Known
64178	64281	New
64178	64279	New
64178	60766	Known
64178	60764	Known
64178	60762	Known
64178	60760	Known
64178	60758	Known
64178	60756	Known
64178	60754	Known
64178	63968	Known
64178	63965	Known
64178	64268	Known
64178	63077	Known
64178	61385	Known
64178	61383	Known
64178	60208	New
64178	64262	Known
64178	64260	Known
64178	64258	Known
64178	64256	Known
64178	61886	Known
64178	61884	Known
64178	61882	Known
64178	61880	Known
64178	60194	New
64178	64249	Known
64178	64247	Known
64178	64245	Known
64178	64243	Known
64178	64241	Known
64178	64239	Known
64178	64237	Known
64178	60604	Known
64178	62312	New
64178	61798	Known
64178	64232	Known
64178	64230	Known
64178	60529	Known
64178	60527	Known
64178	60525	Known
64178	60523	Known
64178	60521	Known
64178	60519	Known
64178	60517	Known
64178	60515	Known
64178	60513	Known
64178	60511	Known
64178	61183	Known
64178	61181	Known
64178	61179	Known
64178	61177	Known
64178	62273	New
64178	61138	Known
64178	61136	Known
64178	64211	Known
64178	60176	New
64178	60174	New
64178	60462	New
64178	60460	Known
64178	60458	Known
64178	60456	Known
64178	60454	Known
64178	60452	Known
64178	60450	Known
64178	60448	Known
64178	60446	Known
64178	60444	Known
64178	61608	Known
64178	61606	Known
64178	61604	Known
64178	63261	New
64178	63629	New
64178	64192	New
64178	64190	Known
64178	61036	New
64178	64187	Known
64178	64185	Known
64178	64183	Known
64178	64181	Known
64178	64179	Known
64155	63041	New
64155	64175	New
64155	63037	New
64155	64172	New
64155	64170	New
64155	64168	Known
64155	64166	New
64155	64164	New
64155	64162	Known
64155	64160	Known
64155	64158	New
64155	64156	Known
64074	62891	Known
64074	64145	Known
64074	64143	Known
64074	64141	Known
64074	61491	Known
64074	64138	Known
64074	64136	Known
64074	60918	Known
64074	61466	New
64074	60224	Known
64074	60222	Known
64074	64130	Known
64074	64074	Known
64074	64127	Known
64074	62795	Known
64074	64124	Known
64074	64122	Known
64074	64120	Known
64074	62377	Known
64074	62375	Known
64074	63583	New
64074	63907	Known
64074	64114	Known
64074	64112	Known
64074	64110	Known
64074	61301	Known
64074	64107	Known
64074	60560	Known
64074	61223	New
64074	61221	New
64074	61219	Known
64074	61217	Known
64074	60545	Known
64074	60543	Known
64074	60541	Known
64074	60539	Known
64074	60537	Known
64074	64095	Known
64074	64093	Known
64074	62290	Known
64074	62281	Known
64074	62279	Known
64074	62273	Known
64074	62271	Known
64074	62269	Known
64074	62267	Known
64074	60916	Known
64074	60914	Known
64074	60900	Known
64074	60911	Known
64074	60909	Known
64074	60907	New
64074	60905	Known
64074	60903	Known
64074	60901	Known
64074	64075	Known
63984	63998	Known
63984	63996	Known
63984	63994	Known
63984	63992	Known
63984	63990	Known
63984	63988	Known
63984	63986	Known
63984	63984	Known
63968	63982	Known
63968	63980	Known
63968	63978	Known
63968	61171	Known
63968	63975	Known
63968	63973	Known
63968	63971	Known
63968	63969	Known
63965	63080	New
63965	63077	New
63963	63963	New
63961	63537	New
63959	63959	New
63831	63945	Known
63831	62996	New
63831	63942	Known
63831	63940	Known
63831	60866	Known
63831	63937	Known
63831	63935	Known
63831	63933	Known
63831	63931	Known
63831	63929	New
63831	63927	New
63831	63925	New
63831	63923	New
63831	63921	New
63831	63919	New
63831	63917	Known
63831	63915	Known
63831	63913	Known
63831	63831	Known
63831	63910	Known
63831	63583	New
63831	63907	Known
63831	61319	Known
63831	61317	Known
63831	63903	New
63831	63901	Known
63831	63899	Known
63831	63897	New
63831	61565	New
63831	61563	New
63831	61561	New
63831	61559	New
63831	61557	New
63831	61555	New
63831	61553	New
63831	61551	New
63831	61549	New
63831	61547	New
63831	60658	New
63831	63884	Known
63831	63882	New
63831	63880	New
63831	63878	Known
63831	63876	Known
63831	63874	Known
63831	63035	Known
63831	63871	Known
63831	63869	Known
63831	63867	Known
63831	63865	Known
63831	63863	Known
63831	63861	New
63831	63859	New
63831	61211	New
63831	61203	Known
63831	62992	New
63831	62990	New
63831	62988	New
63831	62986	New
63831	62984	New
63831	62982	Known
63831	63849	New
63831	63847	New
63831	63845	New
63831	63843	Known
63831	63841	Known
63831	63839	Known
63831	60295	Known
63831	60293	Known
63831	60291	Known
63831	60289	Known
63831	60287	Known
63831	60285	Known
63831	60283	Known
63824	60888	New
63824	63828	New
63824	60742	New
63824	60740	New
63824	62938	New
63583	63584	New
63581	63581	New
63576	63576	New
63571	63574	New
63571	63571	New
63571	61286	New
63550	60918	New
63550	61421	Known
63550	61419	Known
63550	63550	New
63550	63563	New
63550	63561	New
63550	62273	Known
63550	62271	Known
63550	62269	Known
63550	62267	Known
63550	60923	Known
63550	63554	Known
63550	60900	New
63550	60911	New
63550	60909	New
63350	60894	Known
63350	60888	New
63350	61502	Known
63350	63545	Known
63350	63543	New
63350	60886	New
63350	62996	New
63350	60882	Known
63350	60880	Known
63350	63537	New
63350	62046	New
63350	63534	New
63350	61474	Known
63350	61472	Known
63350	62042	Known
63350	63529	Known
63350	63527	Known
63350	60224	New
63350	60222	New
63350	60220	New
63350	60218	New
63350	61454	Known
63350	60844	New
63350	60824	New
63350	63518	New
63350	63516	New
63350	61977	Known
63350	61975	Known
63350	61973	Known
63350	61971	Known
63350	61969	Known
63350	63509	New
63350	63507	New
63350	60782	Known
63350	63504	Known
63350	60742	New
63350	60740	New
63350	62938	New
63350	63499	New
63350	63497	New
63350	61577	New
63350	63494	New
63350	63492	New
63350	63490	New
63350	61387	Known
63350	63487	Known
63350	63485	Known
63350	60716	New
63350	60714	New
63350	63481	New
63350	63479	Known
63350	63477	Known
63350	63475	Known
63350	63473	New
63350	62375	New
63350	63470	New
63350	63468	Known
63350	63466	New
63350	63464	New
63350	63462	New
63350	63460	New
63350	63350	Known
63350	63348	Known
63350	63456	New
63350	63454	New
63350	62707	New
63350	61571	New
63350	62704	New
63350	62702	New
63350	62700	New
63350	63447	New
63350	60668	New
63350	60666	New
63350	60664	New
63350	60662	New
63350	63441	New
63350	63439	Known
63350	63437	Known
63350	63435	Known
63350	63433	Known
63350	63431	Known
63350	63429	Known
63350	63000	New
63350	63205	New
63350	63425	Known
63350	63423	Known
63350	60180	New
63350	63420	Known
63350	63418	Known
63350	63416	Known
63350	63414	New
63350	63412	New
63350	63410	Known
63350	63109	New
63350	63107	New
63350	63105	New
63350	63103	New
63350	63101	New
63350	63099	New
63350	63097	Known
63350	63002	New
63350	60261	New
63350	60259	New
63350	61542	New
63350	61209	New
63350	62990	New
63350	61181	New
63350	63394	New
63350	60499	Known
63350	60497	Known
63350	63135	New
63350	62580	New
63350	62578	New
63350	61725	New
63350	63386	New
63350	63384	New
63350	63382	New
63350	63380	New
63350	63378	New
63350	61103	New
63350	61101	New
63350	63374	New
63350	61522	New
63350	60384	New
63350	61520	New
63350	61076	Known
63350	61074	Known
63350	61072	Known
63350	61070	Known
63350	61068	Known
63350	61066	Known
63350	61064	Known
63350	61062	Known
63350	61060	Known
63350	61676	Known
63350	60907	New
63350	60905	New
63350	60359	Known
63350	60357	Known
63350	63355	New
63350	60172	New
63350	63352	Known
63348	63350	Known
63348	63348	Known
63346	63346	New
63342	62996	New
63342	63342	New
63342	62990	New
63337	60872	Known
63337	60962	Known
63337	60960	Known
63337	60958	Known
63299	60964	Known
63299	60918	Known
63299	60956	Known
63299	60954	Known
63299	60952	Known
63299	60950	Known
63299	60948	Known
63299	60642	Known
63299	60640	Known
63299	60638	Known
63299	60636	Known
63299	60188	Known
63299	60186	Known
63299	60184	Known
63299	60182	Known
63299	60180	Known
63299	60178	Known
63299	63305	Known
63299	60923	Known
63299	60900	Known
63299	60911	Known
63299	60909	Known
63299	60921	Known
63289	62901	Known
63289	60228	Known
63289	62860	Known
63289	60216	Known
63289	61421	Known
63289	61419	Known
63289	61856	Known
63289	60925	Known
63289	60923	Known
63280	60974	Known
63280	60956	Known
63280	60954	Known
63280	60952	Known
63280	61018	Known
63280	61016	Known
63280	61014	Known
63280	60970	Known
63271	63271	Known
63271	63277	Known
63271	63275	Known
63271	63013	New
63271	61616	New
63271	61614	New
63184	63255	Known
63184	63253	Known
63184	63251	New
63184	63249	Known
63184	63247	Known
63184	63245	Known
63184	63243	Known
63184	63241	Known
63184	63239	Known
63184	63237	Known
63184	63235	Known
63184	63233	Known
63184	63231	Known
63184	63229	Known
63184	63227	Known
63184	61273	New
63184	61271	Known
